"status","family","pval","qval","gene_short_name","is.feature","score","dir"
"RPS15","OK","negbinomial.size",3.08016897401995e-65,1.26874382842234e-63,"RPS15",FALSE,144.824833559126,-1
"AGTRAP","OK","negbinomial.size",4.06480657983783e-65,1.66573689125559e-63,"AGTRAP",FALSE,144.55259325577,-1
"RPLP1","OK","negbinomial.size",4.16339319088427e-65,1.69743239736511e-63,"RPLP1",FALSE,144.533744103789,-1
"GNB2L1","OK","negbinomial.size",1.26912178850327e-64,5.1479960466648e-63,"GNB2L1",FALSE,143.424253336827,-1
"ITGB2","OK","negbinomial.size",1.44633483270725e-64,5.83720285260791e-63,"ITGB2",FALSE,143.298609140119,-1
"RPL34","OK","negbinomial.size",2.76376965207316e-64,1.10981323063903e-62,"RPL34",FALSE,142.65608402515,-1
"SERPINA1","OK","negbinomial.size",3.09259576116707e-64,1.2356466363743e-62,"SERPINA1",FALSE,-142.548681340372,1
"TYMP","OK","negbinomial.size",4.02175797721773e-64,1.59889890527099e-62,"TYMP",TRUE,142.290960557498,-1
"RPL36A","OK","negbinomial.size",4.19853778451562e-64,1.66091660574576e-62,"RPL36A",FALSE,142.252906143517,-1
"PSAP","OK","negbinomial.size",4.89921391054024e-64,1.92855262852843e-62,"PSAP",FALSE,-142.10350597746,1
"SCARB2","OK","negbinomial.size",5.9759874441959e-64,2.34088802287105e-62,"SCARB2",TRUE,-141.909745411299,1
"DST","OK","negbinomial.size",7.61932866564945e-64,2.97005148132706e-62,"DST",TRUE,-141.671696479186,1
"SAA1","OK","negbinomial.size",9.1249035560058e-64,3.53966525806031e-62,"SAA1",TRUE,-141.496243602826,1
"RPL10A","OK","negbinomial.size",1.11867993055382e-63,4.31853687200754e-62,"RPL10A",FALSE,141.297359107778,-1
"RPS3A","OK","negbinomial.size",2.01955169306566e-63,7.75876806696523e-62,"RPS3A",FALSE,140.711452198296,-1
"CCDC69","OK","negbinomial.size",7.6855379533707e-63,2.93852314762609e-61,"CCDC69",FALSE,139.379783548236,-1
"NFIC","OK","negbinomial.size",1.55575173095367e-62,5.92000575335749e-61,"NFIC",FALSE,-138.67935325189,1
"RPLP2","OK","negbinomial.size",1.40966772154179e-61,5.33869893973481e-60,"RPLP2",FALSE,136.480123600601,-1
"RAB32","OK","negbinomial.size",3.01613635956578e-61,1.1368842287401e-59,"RAB32",TRUE,-135.724229098753,1
"FXYD5","OK","negbinomial.size",3.29999378956304e-61,1.23803992358677e-59,"FXYD5",FALSE,135.638991064452,-1
"RNASET2","OK","negbinomial.size",4.64721726703722e-61,1.73532304583619e-59,"RNASET2",TRUE,-135.301326897016,1
"RPL7A","OK","negbinomial.size",5.43881296765601e-61,2.02146764765298e-59,"RPL7A",FALSE,135.148696680807,-1
"TIMP1","OK","negbinomial.size",1.12837650688241e-60,4.17447067893394e-59,"TIMP1",TRUE,-134.423532919872,1
"MCOLN1","OK","negbinomial.size",6.40103686639147e-60,2.35717445158222e-58,"MCOLN1",TRUE,-132.692471758192,1
"METTL9","OK","negbinomial.size",1.17557979489846e-59,4.3092009821255e-58,"METTL9",TRUE,132.089182893703,-1
"CLU","OK","negbinomial.size",1.31219087984075e-59,4.7879987766244e-58,"CLU",FALSE,131.983822861468,-1
"TMEM37","OK","negbinomial.size",2.12591543154661e-59,7.72190464249498e-58,"TMEM37",FALSE,-131.505874344698,1
"ZFAS1","OK","negbinomial.size",4.92695035790689e-59,1.78150499140425e-57,"ZFAS1",FALSE,130.669891792802,-1
"ALOX5AP","OK","negbinomial.size",1.83750301284416e-58,6.61418314217915e-57,"ALOX5AP",TRUE,129.358133996406,-1
"C10orf54","OK","negbinomial.size",3.27080001691682e-58,1.17206111816961e-56,"C10orf54",FALSE,128.786001369263,-1
"CAPN2","OK","negbinomial.size",3.64582263418642e-58,1.3006146727582e-56,"CAPN2",TRUE,128.681928229747,-1
"JAML","OK","negbinomial.size",4.03482247359892e-58,1.43298961717907e-56,"JAML",TRUE,128.58500230436,-1
"SLC25A6","OK","negbinomial.size",1.19042855991396e-57,4.20916576206745e-56,"SLC25A6",TRUE,127.507500735886,-1
"RPL24","OK","negbinomial.size",1.28701875477797e-57,4.53064619798711e-56,"RPL24",FALSE,127.433900629783,-1
"TALDO1","OK","negbinomial.size",1.53815841446574e-57,5.390975390349e-56,"TALDO1",FALSE,127.260038876158,-1
"NKG7","OK","negbinomial.size",3.32272946415549e-57,1.1594729758981e-55,"NKG7",TRUE,126.494214543916,-1
"RPS6","OK","negbinomial.size",4.69579277672145e-57,1.6314817425557e-55,"RPS6",FALSE,126.152691468272,-1
"RPL13","OK","negbinomial.size",8.07827263575171e-57,2.79452279793471e-55,"RPL13",FALSE,125.614518756834,-1
"ARL6IP1","OK","negbinomial.size",4.66052785584503e-56,1.60527060758869e-54,"ARL6IP1",TRUE,-123.866302676449,1
"HLA-DQA1","OK","negbinomial.size",5.65196024731709e-56,1.93840404876871e-54,"HLA-DQA1",TRUE,-123.677730042444,1
"GRN","OK","negbinomial.size",6.81017748451047e-56,2.32564650763774e-54,"GRN",FALSE,-123.495596953492,1
"SORL1","OK","negbinomial.size",3.42290116098715e-55,1.16393205010419e-53,"SORL1",TRUE,121.885205957278,-1
"BLVRB","OK","negbinomial.size",8.4207915724308e-55,2.85129429895316e-53,"BLVRB",FALSE,-120.989236897511,1
"SAA2","OK","negbinomial.size",1.18719390813553e-54,4.00289726578524e-53,"SAA2",FALSE,-120.649991513309,1
"RPL39","OK","negbinomial.size",2.08559184333099e-54,7.00250605884789e-53,"RPL39",FALSE,120.090741835292,-1
"RPL30","OK","negbinomial.size",2.48354405401608e-54,8.30376591449478e-53,"RPL30",FALSE,119.920300792146,-1
